stencil computation, n=3000, m=12000, r=1, c=40, i=10, time=0.307142
stencil computation, n=3000, m=12000, r=1, c=42, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=44, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=46, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=48, i=10, time=0.520830
stencil computation, n=3000, m=12000, r=2, c=2, i=10, time=2.010027
stencil computation, n=3000, m=12000, r=2, c=4, i=10, time=1.074684
stencil computation, n=3000, m=12000, r=2, c=6, i=10, time=0.676524
stencil computation, n=3000, m=12000, r=2, c=8, i=10, time=0.512952
stencil computation, n=3000, m=12000, r=4, c=2, i=10, time=0.516675
stencil computation, n=3000, m=12000, r=4, c=4, i=10, time=0.501271
stencil computation, n=3000, m=12000, r=4, c=6, i=10, time=0.293241
stencil computation, n=3000, m=12000, r=4, c=8, i=10, time=0.241680
stencil computation, n=3000, m=12000, r=6, c=2, i=10, time=0.377985
stencil computation, n=3000, m=12000, r=6, c=4, i=10, time=0.333697
stencil computation, n=3000, m=12000, r=6, c=6, i=10, time=0.220954
stencil computation, n=3000, m=12000, r=6, c=8, i=10, time=0.175700
stencil computation, n=3000, m=12000, r=8, c=2, i=10, time=0.305846
stencil computation, n=3000, m=12000, r=8, c=4, i=10, time=0.249649
stencil computation, n=3000, m=12000, r=8, c=6, i=10, time=0.204434
stencil computation, n=3000, m=12000, r=8, c=8, i=10, time=0.141045
stencil computation, n=3000, m=12000, r=1, c=1, i=10, time=6.719961
stencil computation, n=3000, m=12000, r=2, c=1, i=10, time=3.978749
stencil computation, n=3000, m=12000, r=4, c=1, i=10, time=1.026695
stencil computation, n=3000, m=12000, r=6, c=1, i=10, time=0.710730
stencil computation, n=3000, m=12000, r=8, c=1, i=10, time=0.496623
stencil computation, n=3000, m=12000, r=10, c=1, i=10, time=0.799755
stencil computation, n=3000, m=12000, r=12, c=1, i=10, time=0.374637
stencil computation, n=3000, m=12000, r=14, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=16, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=18, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=20, c=1, i=10, time=0.204254
stencil computation, n=3000, m=12000, r=22, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=24, c=1, i=10, time=0.182215
stencil computation, n=3000, m=12000, r=26, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=28, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=30, c=1, i=10, time=0.182505
stencil computation, n=3000, m=12000, r=32, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=34, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=36, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=38, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=40, c=1, i=10, time=0.110928
stencil computation, n=3000, m=12000, r=42, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=44, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=46, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=48, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=2, i=10, time=3.351845
stencil computation, n=3000, m=12000, r=1, c=4, i=10, time=1.784507
stencil computation, n=3000, m=12000, r=1, c=6, i=10, time=1.577640
stencil computation, n=3000, m=12000, r=1, c=8, i=10, time=0.931552
stencil computation, n=3000, m=12000, r=1, c=10, i=10, time=1.076629
stencil computation, n=3000, m=12000, r=1, c=12, i=10, time=0.983611
stencil computation, n=3000, m=12000, r=1, c=14, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=16, i=10, time=0.724133
stencil computation, n=3000, m=12000, r=1, c=18, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=20, i=10, time=0.602845
stencil computation, n=3000, m=12000, r=1, c=22, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=24, i=10, time=0.517737
stencil computation, n=3000, m=12000, r=1, c=26, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=28, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=30, i=10, time=0.412789
stencil computation, n=3000, m=12000, r=1, c=32, i=10, time=0.364973
stencil computation, n=3000, m=12000, r=1, c=34, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=36, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=38, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=40, i=10, time=0.341890
stencil computation, n=3000, m=12000, r=1, c=42, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=44, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=46, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=48, i=10, time=0.639170
stencil computation, n=3000, m=12000, r=2, c=2, i=10, time=2.010406
stencil computation, n=3000, m=12000, r=2, c=4, i=10, time=1.061310
stencil computation, n=3000, m=12000, r=2, c=6, i=10, time=0.690723
stencil computation, n=3000, m=12000, r=2, c=8, i=10, time=0.537018
stencil computation, n=3000, m=12000, r=4, c=2, i=10, time=0.512744
stencil computation, n=3000, m=12000, r=4, c=4, i=10, time=0.523953
stencil computation, n=3000, m=12000, r=4, c=6, i=10, time=0.279882
stencil computation, n=3000, m=12000, r=4, c=8, i=10, time=0.210120
stencil computation, n=3000, m=12000, r=6, c=2, i=10, time=0.450884
stencil computation, n=3000, m=12000, r=6, c=4, i=10, time=0.278108
stencil computation, n=3000, m=12000, r=6, c=6, i=10, time=0.223354
stencil computation, n=3000, m=12000, r=6, c=8, i=10, time=0.167840
stencil computation, n=3000, m=12000, r=8, c=2, i=10, time=0.294640
stencil computation, n=3000, m=12000, r=8, c=4, i=10, time=0.227130
stencil computation, n=3000, m=12000, r=8, c=6, i=10, time=0.197729
stencil computation, n=3000, m=12000, r=8, c=8, i=10, time=0.157353
stencil computation, n=3000, m=12000, r=1, c=1, i=10, time=6.711497
stencil computation, n=3000, m=12000, r=2, c=1, i=10, time=3.978528
stencil computation, n=3000, m=12000, r=4, c=1, i=10, time=0.990909
stencil computation, n=3000, m=12000, r=6, c=1, i=10, time=0.663529
stencil computation, n=3000, m=12000, r=8, c=1, i=10, time=0.500097
stencil computation, n=3000, m=12000, r=10, c=1, i=10, time=0.770527
stencil computation, n=3000, m=12000, r=12, c=1, i=10, time=0.426461
stencil computation, n=3000, m=12000, r=14, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=16, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=18, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=20, c=1, i=10, time=0.201358
stencil computation, n=3000, m=12000, r=22, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=24, c=1, i=10, time=0.201258
stencil computation, n=3000, m=12000, r=26, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=28, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=30, c=1, i=10, time=0.146708
stencil computation, n=3000, m=12000, r=32, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=34, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=36, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=38, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=40, c=1, i=10, time=0.110015
stencil computation, n=3000, m=12000, r=42, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=44, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=46, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=48, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=2, i=10, time=3.329093
stencil computation, n=3000, m=12000, r=1, c=4, i=10, time=1.819130
stencil computation, n=3000, m=12000, r=1, c=6, i=10, time=1.482220
stencil computation, n=3000, m=12000, r=1, c=8, i=10, time=0.941003
stencil computation, n=3000, m=12000, r=1, c=10, i=10, time=1.069600
stencil computation, n=3000, m=12000, r=1, c=12, i=10, time=0.947023
stencil computation, n=3000, m=12000, r=1, c=14, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=16, i=10, time=0.730764
stencil computation, n=3000, m=12000, r=1, c=18, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=20, i=10, time=0.638600
stencil computation, n=3000, m=12000, r=1, c=22, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=24, i=10, time=0.522623
stencil computation, n=3000, m=12000, r=1, c=26, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=28, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=30, i=10, time=0.434359
stencil computation, n=3000, m=12000, r=1, c=32, i=10, time=0.364726
stencil computation, n=3000, m=12000, r=1, c=34, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=36, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=38, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=40, i=10, time=0.298429
stencil computation, n=3000, m=12000, r=1, c=42, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=44, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=46, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=48, i=10, time=0.618942
stencil computation, n=3000, m=12000, r=2, c=2, i=10, time=2.019744
stencil computation, n=3000, m=12000, r=2, c=4, i=10, time=1.083041
stencil computation, n=3000, m=12000, r=2, c=6, i=10, time=0.692201
stencil computation, n=3000, m=12000, r=2, c=8, i=10, time=0.539102
stencil computation, n=3000, m=12000, r=4, c=2, i=10, time=0.548345
stencil computation, n=3000, m=12000, r=4, c=4, i=10, time=0.501410
