stencil computation, n=6000, m=6000, r=2, c=4, i=10, time=0.520927
stencil computation, n=6000, m=6000, r=2, c=6, i=10, time=0.399633
stencil computation, n=6000, m=6000, r=2, c=8, i=10, time=0.578461
stencil computation, n=6000, m=6000, r=4, c=2, i=10, time=0.500469
stencil computation, n=6000, m=6000, r=4, c=4, i=10, time=0.401141
stencil computation, n=6000, m=6000, r=4, c=6, i=10, time=0.211600
stencil computation, n=6000, m=6000, r=4, c=8, i=10, time=0.378393
stencil computation, n=6000, m=6000, r=6, c=2, i=10, time=0.405234
stencil computation, n=6000, m=6000, r=6, c=4, i=10, time=0.255710
stencil computation, n=6000, m=6000, r=6, c=6, i=10, time=0.192501
stencil computation, n=6000, m=6000, r=6, c=8, i=10, time=0.336874
stencil computation, n=6000, m=6000, r=8, c=2, i=10, time=0.300943
stencil computation, n=6000, m=6000, r=8, c=4, i=10, time=0.166665
stencil computation, n=6000, m=6000, r=8, c=6, i=10, time=0.146527
stencil computation, n=6000, m=6000, r=8, c=8, i=10, time=0.137233
stencil computation, n=6000, m=6000, r=1, c=1, i=10, time=7.943760
stencil computation, n=6000, m=6000, r=2, c=1, i=10, time=2.760403
stencil computation, n=6000, m=6000, r=4, c=1, i=10, time=1.607969
stencil computation, n=6000, m=6000, r=6, c=1, i=10, time=0.653440
stencil computation, n=6000, m=6000, r=8, c=1, i=10, time=0.619126
stencil computation, n=6000, m=6000, r=10, c=1, i=10, time=0.430605
stencil computation, n=6000, m=6000, r=12, c=1, i=10, time=0.392145
stencil computation, n=6000, m=6000, r=14, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=16, c=1, i=10, time=0.453823
stencil computation, n=6000, m=6000, r=18, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=20, c=1, i=10, time=0.273424
stencil computation, n=6000, m=6000, r=22, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=24, c=1, i=10, time=0.206700
stencil computation, n=6000, m=6000, r=26, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=28, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=30, c=1, i=10, time=0.170623
stencil computation, n=6000, m=6000, r=32, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=34, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=36, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=38, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=40, c=1, i=10, time=0.237574
stencil computation, n=6000, m=6000, r=42, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=44, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=46, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=48, c=1, i=10, time=0.201190
stencil computation, n=6000, m=6000, r=1, c=2, i=10, time=3.984474
stencil computation, n=6000, m=6000, r=1, c=4, i=10, time=2.010613
stencil computation, n=6000, m=6000, r=1, c=6, i=10, time=1.196067
stencil computation, n=6000, m=6000, r=1, c=8, i=10, time=1.126501
stencil computation, n=6000, m=6000, r=1, c=10, i=10, time=0.838503
stencil computation, n=6000, m=6000, r=1, c=12, i=10, time=0.705259
stencil computation, n=6000, m=6000, r=1, c=14, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=16, i=10, time=0.527226
stencil computation, n=6000, m=6000, r=1, c=18, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=20, i=10, time=0.572997
stencil computation, n=6000, m=6000, r=1, c=22, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=24, i=10, time=0.531554
stencil computation, n=6000, m=6000, r=1, c=26, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=28, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=30, i=10, time=0.361754
stencil computation, n=6000, m=6000, r=1, c=32, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=34, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=36, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=38, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=40, i=10, time=0.374335
stencil computation, n=6000, m=6000, r=1, c=42, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=44, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=46, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=48, i=10, time=0.423714
stencil computation, n=6000, m=6000, r=2, c=2, i=10, time=1.115047
